"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"1",100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,100,NA
"2",85,95,100,95,95,95,100,100,100,12,91.6666666666667,88.8888888888889,90,95,57.6,74.7,97.5,65.8536585365854,80.2325581395349,92.2222222222222,100,86.3122045755341,"A"
"3",87.5,100,85,70,100,98,0,80,0,7,83.3333333333333,55.5555555555556,50,0,56.8,54.9,88.6428571428571,64.6341463414634,54.6511627906977,62.962962962963,100,72.6269215532687,"C-"
"4",92.5,100,100,100,96.25,99,100,92.5,95,12,66.6666666666667,88.8888888888889,65,65,69.6,58.05,98.6071428571429,84.1463414634146,58.7209302325581,77.7777777777778,100,82.758310374632,"C+"
"5",32.5,0,65,60,0,46,0,0,0,5,41.6666666666667,50,0,0,40,16.2,50.875,39.0243902439024,4.65116279069767,45.8333333333333,100,41.1051687464549,"F"
"6",75,85,92.5,95,100,91,0,0,90,9,91.6666666666667,94.4444444444444,0,75,73.6,71.1,89.7857142857143,90.2439024390244,75.5813953488372,87.037037037037,100,86.935399166284,"B+"
"7",90,100,97.5,95,80,80,52,90,90,12,91.6666666666667,50,75,90,78.4,68.85,90.3125,97.5609756097561,72.6744186046512,85.5555555555556,100,87.6078831064473,"B"
"8",92.5,95,100,90,100,72,95,74.5,100,12,83.3333333333333,44.4444444444444,60,65,52,63.9,93.375,57.3170731707317,66.2790697674419,69.4444444444444,100,76.4623487426735,"C-"
"9",82.5,85,92.5,70,100,0,84,90,95,12,91.6666666666667,100,70,95,80,73.8,87.375,100,79.0697674418605,95.5555555555556,100,90.3132751937984,"A+"
"10",75,95,95,95,95,96,0,100,98,12,58.3333333333333,55.5555555555556,65,80,63.2,70.65,93.625,74.390243902439,75,67.7777777777778,100,81.8822154471545,"C-"
